epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,80.7915,0.75685,0.91691,1.15513,0.87273,0.41667,0.6985,0.40817,1.82425,1.76214,1.51516,2.89884e-05,2.89884e-05,2.89884e-05
62,82.1049,0.86069,1.17724,1.17234,0.87273,0.41667,0.6985,0.40817,1.82425,1.76214,1.51516,2.87529e-05,2.87529e-05,2.87529e-05
63,83.4994,0.81521,1.12379,1.23105,0.87028,0.41667,0.68592,0.3935,1.81408,1.78388,1.50955,2.84938e-05,2.84938e-05,2.84938e-05
64,84.8748,0.76253,0.76032,1.20034,0.87028,0.41667,0.68592,0.3935,1.81408,1.78388,1.50955,2.82112e-05,2.82112e-05,2.82112e-05
65,86.1625,0.73696,0.93951,1.30059,0.87028,0.41667,0.68592,0.3935,1.81408,1.78388,1.50955,2.7905e-05,2.7905e-05,2.7905e-05
66,87.4743,0.75375,1.26601,1.15056,0.87052,0.41667,0.68793,0.39241,1.81373,1.79788,1.51073,2.75753e-05,2.75753e-05,2.75753e-05
67,88.8436,0.84693,1.22665,1.19829,0.87052,0.41667,0.68793,0.39241,1.81373,1.79788,1.51073,2.7222e-05,2.7222e-05,2.7222e-05
68,90.1548,1.1781,2.17971,1.58838,0.87052,0.41667,0.68793,0.39241,1.81373,1.79788,1.51073,2.68451e-05,2.68451e-05,2.68451e-05
69,91.4902,0.72396,1.13088,1.19597,0.87236,0.41667,0.73061,0.44377,1.84217,1.83193,1.52823,2.64447e-05,2.64447e-05,2.64447e-05
70,92.7917,0.97912,0.92915,1.43781,0.87236,0.41667,0.73061,0.44377,1.84217,1.83193,1.52823,2.60207e-05,2.60207e-05,2.60207e-05
71,94.0624,1.00947,1.39498,1.36454,0.87236,0.41667,0.73061,0.44377,1.84217,1.83193,1.52823,2.55731e-05,2.55731e-05,2.55731e-05
72,95.4537,0.67852,0.72859,1.17041,0.87326,0.41667,0.70006,0.44156,1.84868,1.83437,1.53127,2.5102e-05,2.5102e-05,2.5102e-05
73,96.7746,0.74928,1.1287,1.11765,0.87326,0.41667,0.70006,0.44156,1.84868,1.83437,1.53127,2.46073e-05,2.46073e-05,2.46073e-05
74,98.071,0.81114,0.82959,1.32064,0.87326,0.41667,0.70006,0.44156,1.84868,1.83437,1.53127,2.40891e-05,2.40891e-05,2.40891e-05
75,99.4457,0.78646,0.68792,1.19157,0.87191,0.41667,0.70291,0.42276,1.85493,1.88156,1.5437,2.35472e-05,2.35472e-05,2.35472e-05
76,100.751,0.8214,1.02215,1.30487,0.87191,0.41667,0.70291,0.42276,1.85493,1.88156,1.5437,2.29819e-05,2.29819e-05,2.29819e-05
77,102.108,0.75757,0.76666,1.17403,0.87191,0.41667,0.70291,0.42276,1.85493,1.88156,1.5437,2.23929e-05,2.23929e-05,2.23929e-05
78,103.472,0.86592,1.30599,1.2063,0.87231,0.41667,0.62062,0.37456,1.87103,1.92533,1.55724,2.17805e-05,2.17805e-05,2.17805e-05
79,104.754,0.73108,1.12585,1.18344,0.87231,0.41667,0.62062,0.37456,1.87103,1.92533,1.55724,2.11444e-05,2.11444e-05,2.11444e-05
80,106.062,0.76045,1.00728,1.21985,0.87231,0.41667,0.62062,0.37456,1.87103,1.92533,1.55724,2.04848e-05,2.04848e-05,2.04848e-05
81,107.392,0.53946,0.59247,1.0142,0.87341,0.41667,0.59157,0.36315,1.85015,1.95794,1.55744,1.98016e-05,1.98016e-05,1.98016e-05
82,108.75,0.88017,0.81163,1.21357,0.87341,0.41667,0.59157,0.36315,1.85015,1.95794,1.55744,1.90949e-05,1.90949e-05,1.90949e-05
83,110.053,0.79496,0.92736,1.1969,0.87341,0.41667,0.59157,0.36315,1.85015,1.95794,1.55744,1.83646e-05,1.83646e-05,1.83646e-05
84,111.395,0.76265,0.8353,1.13921,0.87684,0.41202,0.5947,0.36271,1.85676,1.95335,1.55102,1.76107e-05,1.76107e-05,1.76107e-05
85,112.678,0.69181,0.81213,1.19813,0.87684,0.41202,0.5947,0.36271,1.85676,1.95335,1.55102,1.68333e-05,1.68333e-05,1.68333e-05
86,113.94,0.76565,1.16822,1.14598,0.87684,0.41202,0.5947,0.36271,1.85676,1.95335,1.55102,1.60323e-05,1.60323e-05,1.60323e-05
87,115.224,0.76228,0.88209,1.09147,0.87684,0.41202,0.5947,0.36271,1.85676,1.95335,1.55102,1.52077e-05,1.52077e-05,1.52077e-05
88,116.503,0.83685,1.17894,1.42254,0.84248,0.4,0.58414,0.36702,1.84416,1.9417,1.54077,1.43596e-05,1.43596e-05,1.43596e-05
89,117.753,1.10173,1.2448,1.5226,0.84248,0.4,0.58414,0.36702,1.84416,1.9417,1.54077,1.34879e-05,1.34879e-05,1.34879e-05
90,119.069,0.7334,0.85311,1.06785,0.84248,0.4,0.58414,0.36702,1.84416,1.9417,1.54077,1.25927e-05,1.25927e-05,1.25927e-05
91,120.344,0.5554,0.77728,1.00772,0.84248,0.4,0.58414,0.36702,1.84416,1.9417,1.54077,1.16739e-05,1.16739e-05,1.16739e-05
92,121.708,0.7605,0.86169,0.98327,0.96705,0.35179,0.69538,0.45556,1.85199,1.84623,1.52435,1.07315e-05,1.07315e-05,1.07315e-05
93,123.064,0.63271,0.72416,1.08571,0.96705,0.35179,0.69538,0.45556,1.85199,1.84623,1.52435,9.76562e-06,9.76562e-06,9.76562e-06
94,124.369,0.60517,0.73507,0.95193,0.96705,0.35179,0.69538,0.45556,1.85199,1.84623,1.52435,8.77613e-06,8.77613e-06,8.77613e-06
95,125.62,0.47455,0.66346,0.97271,0.96705,0.35179,0.69538,0.45556,1.85199,1.84623,1.52435,7.76308e-06,7.76308e-06,7.76308e-06
96,126.941,0.62889,0.78385,1.09976,0.96733,0.35186,0.79198,0.44158,1.86394,1.87354,1.5329,6.72648e-06,6.72648e-06,6.72648e-06
97,128.194,0.75067,0.83842,1.08444,0.96733,0.35186,0.79198,0.44158,1.86394,1.87354,1.5329,5.6663e-06,5.6663e-06,5.6663e-06
98,129.479,0.65467,0.72973,0.99933,0.96733,0.35186,0.79198,0.44158,1.86394,1.87354,1.5329,4.58257e-06,4.58257e-06,4.58257e-06
99,130.801,0.6049,0.79522,1.00447,0.96733,0.35186,0.79198,0.44158,1.86394,1.87354,1.5329,3.47528e-06,3.47528e-06,3.47528e-06
100,132.122,0.60863,0.7108,1.04594,0.96494,0.352,0.76253,0.42309,1.87118,1.87098,1.5405,2.34442e-06,2.34442e-06,2.34442e-06
